gene_name	array_data_file_names	composite_element_ref	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	protein_function_and_regulatory_pathways	protein_name
CASP8	Caspase-8-M-QC_GBL1115837.txt	Caspase-8-M-QC	**Used for QC**	Mouse	CST	9746	Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage.	Caspase-8-M-QC
CAV1	Caveolin-1-R-V_GBL1115659.txt	Caveolin-1-R-V	Validated	Rabbit	CST	3238	One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS	Caveolin-1
MS4A1	CD20-R-C_GBL1115660.txt	CD20-R-C	Use with Caution	Rabbit	Epitomics	1632	Human B lymphocyte surfacr marker	CD20
PECAM1	CD31-M-V_GBL1115813.txt	CD31-M-V	Validated	Mouse	Dako	M0823	Endothelia cell marker	CD31
ITGA2	CD49b-M-V_GBL1115836.txt	CD49b-M-V	Validated	Mouse	BD	611016	Integrin	CD49b
CDK1	CDK1-R-V_GBL1115754.txt	CDK1-R-V	Validated	Rabbit	CST	9112	Involved in the regulation of the entry of eukaryotic cells into mitosis	CDK1
CHEK1	Chk1-M-C_GBL1115853.txt	Chk1-M-C	Under Evaluation	Rabbit	CST	2345	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk1
CHEK1	Chk1_pS345-R-C_GBL1115744.txt	Chk1_pS345-R-C	Use with Caution	Rabbit	CST	2348	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk1_pS345
CHEK2	Chk2-M-E_GBL1115814.txt	Chk2-M-E	Under Evaluation	Mouse	CST	3440	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk2
CHEK2	Chk2_pT68-R-C_GBL1115661.txt	Chk2_pT68-R-C	Under Evaluation	Rabbit	CST	2197	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk2_pT68
BIRC2	cIAP-R-V_GBL1115749.txt	cIAP-R-V	Use with Caution	Rabbit	Millipore	07-759	Apoptosis suppressor	cIAP
JUN	c-Jun_pS73-R-V_GBL1115662.txt	c-Jun_pS73-R-V	Validated	Rabbit	CST	9164	MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis	c-Jun_pS73
KIT	c-Kit-R-V_GBL1115663.txt	c-Kit-R-V	Validated	Rabbit	Epitomics	1522	Tyrosine Kinase Receptor	c-Kit
CLDN7	Claudin-7-R-V_GBL1115737.txt	Claudin-7-R-V	Validated	Rabbit	Novus	NB100-91714	Claudins  make up tight junction strands.	Claudin-7
MET	c-Met-M-QC_GBL1115829.txt	c-Met-M-QC	**Used for QC**	Mouse	CST	3127	Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target.	c-Met-M-QC
MET	c-Met_pY1235-R-V_GBL1115720.txt	c-Met_pY1235-R-V	Validated	Rabbit	CST	3129	Tyrosine kinase receptor for hepatocyte growth factor	c-Met_pY1235
MYC	c-Myc-R-C_GBL1115788.txt	c-Myc-R-C	Use with Caution	Rabbit	CST	9402	Members of the Myc/Max/Mad network function as transcriptional regulators invlolving in proliferation, differentiation and apoptosis	c-Myc
COL6A1	Collagen_VI-R-V_GBL1115664.txt	Collagen_VI-R-V	Validated	Rabbit	Santa Cruz	SC-20649	Collagens are fibrous, extracellular matrix proteins play a role in cell adhesion, important for maintaining normal tissue architecture and function.	Collagen_VI
RAF1	C-Raf-R-V_GBL1115732.txt	C-Raf-R-V	Validated	Rabbit	Millipore	05-739	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	C-Raf
RAF1	C-Raf_pS338-R-V_GBL1115665.txt	C-Raf_pS338-R-V	Under Evaluation	Rabbit	CST	9427	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	C-Raf_pS338
CCNB1	Cyclin_B1-R-V_GBL1115666.txt	Cyclin_B1-R-V	Validated	Rabbit	Epitomics	1495-1	Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. 	Cyclin_B1
CCND1	Cyclin_D1-R-V_GBL1115667.txt	Cyclin_D1-R-V	Validated	Rabbit	Santa Cruz	SC-718	Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors	Cyclin_D1
CCNE1	Cyclin_E1-M-V_GBL1115815.txt	Cyclin_E1-M-V	Validated	Mouse	Santa Cruz	SC-247	Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins.	Cyclin_E1
CCNE2	Cyclin_E2-R-C_GBL1115668.txt	Cyclin_E2-R-C	Use with Caution	Rabbit	Epitomics	1142	Controls cell cycle at late G1 and early S phase	Cyclin_E2
PARK7	DJ-1-R-E_GBL1115742.txt	DJ-1-R-E	Validated	Rabbit	Abcam	ab76008	May involved in regulation of PTEN expression	DJ-1
DVL3	Dvl3-R-V_GBL1115751.txt	Dvl3-R-V	Validated	Rabbit	CST	3218	Intermediates of Wnt signaling pathways	Dvl3
CDH1	E-Cadherin-R-V_GBL1115773.txt	E-Cadherin-R-V	Validated	Rabbit	CST	4065	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	E-Cadherin
EEF2	eEF2-R-C_GBL1115761.txt	eEF2-R-C	Use with Caution	Rabbit	CST	2332	Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling.	eEF2
EEF2K	eEF2K-R-V_GBL1115762.txt	eEF2K-R-V	Validated	Rabbit	CST	3692	Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k.	eEF2K
EGFR	EGFR-R-V_GBL1115775.txt	EGFR-R-V	Validated	Rabbit	CST	2232	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	EGFR
EGFR	EGFR_pY1068-R-C_GBL1115669.txt	EGFR_pY1068-R-C	Use with Caution	Rabbit	CST	2234	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	EGFR_pY1068
EGFR	EGFR_pY1173-R-V_GBL1115670.txt	EGFR_pY1173-R-V	Validated	Rabbit	Epitomics	1124	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	EGFR_pY1173
EIF4E	eIF4E-R-V_GBL1115719.txt	eIF4E-R-V	Valid	Rabbit	CST	9742	Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin.	eIF4E
EIF4G1	eIF4G-R-C_GBL1115778.txt	eIF4G-R-C	Use with Caution	Rabbit	CST	2498	Translation initiation factor	eIF4G
ESR1	ER-alpha-R-V_GBL1115672.txt	ER-alpha-R-V	Validated	Rabbit	Lab Vision	RM-9101-S	Estrogen receptor, Transcription Factor	ER-alpha
ESR1	ER-alpha_pS118-R-V_GBL1115673.txt	ER-alpha_pS118-R-V	Validated	Rabbit	Epitomics	1091-1	Estrogen receptor, Transcription Factor	ER-alpha_pS118
ERCC1	ERCC1-M-V_GBL1115816.txt	ERCC1-M-V	**Used for QC**	Mouse	Lab Vision	MS-671-PO	Involved in DNA repaire	ERCC1
MAPK1	ERK2-R-E_GBL1115674.txt	ERK2-R-E	Under Evaluation	Rabbit	Santa Cruz	sc-154	Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42).	ERK2
ETS1	ETS-1-R-V_GBL1115794.txt	ETS-1-R-V	Validated	Rabbit	BethYl	A303-501A	Ets-1 is a member of the ETS family of transcription factors	ETS-1
FASN	FASN-R-V_GBL1115791.txt	FASN-R-V	Validated	Rabbit	CST	3180	Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. 	FASN
FN1	Fibronectin-R-V_GBL1115807.txt	Fibronectin-R-V	Use with Caution	Rabbit	Epitomics	1574-1	Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape	Fibronectin
FOXM1	FoxM1-R-V_GBL1115777.txt	FoxM1-R-V	Validated	Rabbit	CST	5436	A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation	FoxM1
FOXO3	FOXO3a-R-C_GBL1115854.txt	FOXO3a-R-C	Use with Caution	Rabbit	CST	9467	Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway	FOXO3a
FOXO3	FOXO3a_pS318_S321-R-C_GBL1115676.txt	FOXO3a_pS318_S321-R-C	Use with Caution	Rabbit	CST	9465	Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway	FOXO3a_pS318_S321
G6PD	G6PD-M-V_GBL1115842.txt	G6PD-M-V	Validated	Mouse	Santa Cruz	sc-373887	Plays an important role in the pentose phosphate pathway	G6PD
GAB2	GAB2-R-V_GBL1115752.txt	GAB2-R-V	Validated	Rabbit	CST	3239	Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors	GAB2
GAPDH	GAPDH-M-C_GBL1115817.txt	GAPDH-M-C	Use with Caution	Mouse	Ambion	AM4300	Glyceraldehyde 3-phosphate dehydrogenase	GAPDH
GATA3	GATA3-M-V_GBL1115830.txt	GATA3-M-V	Validated	Mouse	BD Biosciences	558686	Transcription factor	GATA3
GSK3A GSK3B	GSK3-alpha-beta-M-V_GBL1115818.txt	GSK3-alpha-beta-M-V	Validated	Mouse	Santa Cruz	SC-7291	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	GSK3-alpha-beta
GSK3A GSK3B	GSK3-alpha-beta_pS21_S9-R-V_GBL1115677.txt	GSK3-alpha-beta_pS21_S9-R-V	Validated	Rabbit	CST	9331	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	GSK3-alpha-beta_pS21_S9
GSK3A GSK3B	GSK3_pS9-R-V_GBL1115769.txt	GSK3_pS9-R-V	Validated	Rabbit	CST	9336	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	GSK3_pS9
ERBB2	HER2-M-V_GBL1115801.txt	HER2-M-V	Validated	Mouse	Lab Vision	MS-325-P1	The ErbB-2 proto-oncogene product	HER2
ERBB2	HER2_pY1248-R-C_GBL1115766.txt	HER2_pY1248-R-C	Use with Caution	Rabbit	Upstate (Millipore)	06-229	The ErbB-2 proto-oncogene product	HER2_pY1248
ERBB3	HER3-R-V_GBL1115747.txt	HER3-R-V	Validated	Mouse	Lab Vision	MS-201-P1ABX	A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity	HER3
ERBB3	HER3_pY1289-R-C_GBL1115721.txt	HER3_pY1289-R-C	Use with Caution	Rabbit	CST	4791	A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity	HER3_pY1289
NRG1	Heregulin-R-V_GBL1115741.txt	Heregulin-R-V	Validated	Rabbit	CST	2573	A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues	Heregulin
HSPA1A	HSP70-R-C_GBL1115678.txt	HSP70-R-C	Use with Caution	Rabbit	CST	4872	A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress	HSP70
IGFBP2	IGFBP2-R-V_GBL1115679.txt	IGFBP2-R-V	Validated	Rabbit	CST	3922	Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor	IGFBP2
INPP4B	INPP4B-R-V_GBL1115765.txt	INPP4B-R-V	Under Evaluation	Goat	Santa Cruz	SC-12318	The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate.	INPP4B
IRS1	IRS1-R-V_GBL1115731.txt	IRS1-R-V	Validated	Rabbit	Upstate (Millipore)	06-248	Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway.	IRS1
COPS5	JAB1-M-C_GBL1115849.txt	JAB1-M-C	Use with Caution	Mouse	Santa Cruz	sc-13157	JAB1is the coactivator of Jun, (designated as Jun-activation domain-binding protein), interacts with c-Jun and Jun D, but not with Jun B or v-Jun. This interaction enhances the transactivating ability of Jun proteins by stabilizing their binding to the TRE.	JAB1
MAPK9	JNK2-R-C_GBL1115680.txt	JNK2-R-C	Use with Caution	Rabbit	CST	4672	The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)	JNK2
MAPK8	JNK_pT183_pY185-R-V_GBL1115740.txt	JNK_pT183_pY185-R-V	Validated	Rabbit	CST	4668	The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)	JNK_pT183_pY185
XRCC5	Ku80-R-C_GBL1115745.txt	Ku80-R-C	Under Evaluation	Rabbit	CST	2180	Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire	Ku80
LCK	Lck-R-V_GBL1115681.txt	Lck-R-V	Validated	Rabbit	CST	2752	A member of Src family of protein tyrosine kinases	Lck
STK11	LKB1-M-E_GBL1115819.txt	LKB1-M-E	Under Evaluation	Mouse	Abcam	ab15095	Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor.	LKB1
MAPK1 MAPK3	MAPK_pT202_Y204-R-V_GBL1115682.txt	MAPK_pT202_Y204-R-V	Validated	Rabbit	CST	4377	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	MAPK_pT202_Y204
MAP2K1	MEK1-R-V_GBL1115683.txt	MEK1-R-V	Validated	Rabbit	Epitomics	1235-1	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	MEK1
MAP2K1	MEK1_pS217_S221-R-V_GBL1115767.txt	MEK1_pS217_S221-R-V	Validated	Rabbit	CST	9154	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	MEK1_pS217_S221
ERRFI1	MIG-6-M-V_GBL1115802.txt	MIG-6-M-V	Validated	Mouse	Sigma	WH0054206M1	ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth 	MIG-6
MRE11A	Mre11-R-C_GBL1115684.txt	Mre11-R-C	Use with Caution	Rabbit	CST	4847	A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks	Mre11
MSH2	MSH2-M-V_GBL1115831.txt	MSH2-M-V	Validated	Mouse	CST	2850	MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. 	MSH2
MSH6	MSH6-R-C_GBL1115763.txt	MSH6-R-C	Use with Caution	Rabbit	Novus Biologicals	22030002	MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression.	MSH6
MTOR	mTOR-R-V_GBL1115685.txt	mTOR-R-V	Validated	Rabbit	CST	2983	The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway	mTOR
MTOR	mTOR_pS2448-R-C_GBL1115686.txt	mTOR_pS2448-R-C	Use with Caution	Rabbit	CST	2971	The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway	mTOR_pS2448
MYH11	MYH11-R-V_GBL1115786.txt	MYH11-R-V	Validated	Rabbit	SDI / Novus	21370002	Myosin II forms bipolar filaments that interact with actin filaments to produce contraction.	MYH11
MYH9	Myosin-IIa_pS1943-R-V_GBL1115792.txt	Myosin-IIa_pS1943-R-V	Validated	Rabbit	CST	5026	Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity	Myosin-IIa_pS1943
CDH2	N-Cadherin-R-V_GBL1115687.txt	N-Cadherin-R-V	Validated	Rabbit	CST	4061	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	N-Cadherin
NDRG1	NDRG1_pT346-R-V_GBL1115780.txt	NDRG1_pT346-R-V	Validated	Rabbit	CST	3217	A member of the NDRG family functions in growth, differentiation, and cell survival 	NDRG1_pT346
NF2	NF2-R-C_GBL1115760.txt	NF2-R-C	Use with Caution	Rabbit	SDI	2271.00.02	Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals	NF2
NFKB1	NF-kB-p65_pS536-R-C_GBL1115688.txt	NF-kB-p65_pS536-R-C	Use with Caution	Rabbit	CST	3033	Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses 	NF-kB-p65_pS536
NOTCH1	Notch1-R-V_GBL1115764.txt	Notch1-R-V	Validated	Rabbit	CST	3268	A member of transmembrane receptor family that play important roles in development and the determination of cell fate 	Notch1
NRAS	N-Ras-M-V_GBL1115840.txt	N-Ras-M-V	Validated	Mouse	Santa Cruz	sc-31	The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway.	N-Ras
CDKN1A	p21-R-V_GBL1115690.txt	p21-R-V	Validated	Rabbit	Santa Cruz	SC-397	p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest.	p21
CDKN1B	p27-R-V_GBL1115743.txt	p27-R-V	Validated	Rabbit	Epitomics	1591-1	Regulates cell cycle arrest at G1 phase	p27
CDKN1B	p27_pT157-R-C_GBL1115736.txt	p27_pT157-R-C	Use with Caution	Rabbit	R&D	AF1555	Regulates cell cycle arrest at G1 phase	p27_pT157
CDKN1B	p27_pT198-R-V_GBL1115738.txt	p27_pT198-R-V	Validated	Rabbit	Abcam	ab64949	Involved in cell cycle arrest at G1 phase.	p27_pT198
MAPK14	p38_MAPK-R-V_GBL1115691.txt	p38_MAPK-R-V	Validated	Rabbit	CST	9212	 A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK	p38_MAPK
MAPK14	p38_pT180_Y182-R-V_GBL1115692.txt	p38_pT180_Y182-R-V	Validated	Rabbit	CST	9211	 A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK	p38_pT180_Y182
TP53	p53-R-E_GBL1115693.txt	p53-R-E	Under Evaluation	Rabbit	CST	9282	Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair 	p53
SQSTM1	p62-LCK-ligand-M-C_GBL1115856.txt	p62-LCK-ligand-M-C	Under Evaluation	Mouse	BD Transduction Lab	610833	p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_..	p62-LCK-ligand
RPS6KB1	p70S6K-R-V_GBL1115694.txt	p70S6K-R-V	Validated	Rabbit	Epitomics	1494-1	Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways	p70S6K
RPS6KB1	p70S6K_pT389-R-V_GBL1115695.txt	p70S6K_pT389-R-V	Validated	Rabbit	CST	9205	Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways	p70S6K_pT389
RPS6KA1	p90RSK-R-C_GBL1115724.txt	p90RSK-R-C	Use with Caution	Rabbit	CST	9347	The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling	p90RSK
RPS6KA1	p90RSK_pT359_S363-R-C_GBL1115726.txt	p90RSK_pT359_S363-R-C	Use with Caution	Rabbit	CST	9344	The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling	p90RSK_pT359_S363
SERPINE1	PAI-1-M-E_GBL1115820.txt	PAI-1-M-E	Under Evaluation	Mouse	BD Biosciences	612024	PAI-1 is a glycoprotein involves in tissue plasminogen activator (tPA) and urokinase PA (uPA) signaling	PAI-1
PARP1	PARP1-R-V_GBL1115798.txt	PARP1-R-V	Valid	Rabbit	Santa Cruz	sc-7150	Poly(ADP-ribose) polymerase-1 (PARP-1), also designated PARP, is a nuclear DNA-binding zinc finger protein that influences DNA repair, DNA replication, modulation of chromatin structure, and apoptosis. In response to genotoxic stress, PARP-1 catalyzes the transfer of ADP-ribose units from NAD(+) to a number of acceptor molecules including chromatin. PARP-1 recognizes DNA strand interruptions and can complex with RNA and negatively regulate transcription. Actinomycin D- and etoposide-dependent induction of caspases mediates cleavage of PARP-1 into a p89 fragment that traverses into the cytoplasm. Apoptosis-inducing factor (AIF) translocation from the mitochondria to the nucleus is PARP-1-dependent and is necessary for PARP-1-dependent cell death. PARP-1 deficiencies lead to chromosomal instability due to higher frequencies of chromosome fusions and aneuploidy, suggesting that poly(ADP-ribosyl)ation contributes to the efficient maintenance of genome integrity. PARP-2 is part of the base excision repair (BER) pathway, catalyzing the poly(ADP-ribosy)lation of nuclear proteins. PARP-2 is a nuclear, DNA-binding protein which interacts with PARP-1. PARP-2 is present in actively dividing tissues with highest levels in the kidney, skeletal muscle, liver, heart and spleen.	PARP1
PARP1	PARP_cleaved-M-QC_GBL1115821.txt	PARP_cleaved-M-QC	**Used for QC**	Mouse	CST	9546	PARP, a 116 kDa nuclear poly (ADP-ribose) polymerase, appears to be involved in DNA repair in response to environmental stress. This protein can be cleaved by many ICE-like caspases in vitro and is one of the main cleavage targets of caspase-3 in vivo. In human PARP, the cleavage occurs between Asp214 and Gly215, which separates the PARP amino-terminal DNA binding domain (24 kDa) from the carboxy-terminal catalytic domain (89 kDa). PARP helps cells to maintain their viability; cleavage of PARP facilitates cellular disassembly and serves as a marker of cells undergoing apoptosis.	PARP_cleaved-M-QC
PXN	Paxillin-R-C_GBL1115696.txt	Paxillin-R-C	Use with Caution	Rabbit	Epitomics	1500-1	Involved in actin-membrane attachment, Regulates integrin signaling	Paxillin
CDH3	P-Cadherin-R-C_GBL1115697.txt	P-Cadherin-R-C	Under Evaluation	Rabbit	CST	2130	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	P-Cadherin
PCNA	PCNA-M-C_GBL1115822.txt	PCNA-M-C	Use with Caution	Mouse	Abcam	ab29	Involves in DNA repair	PCNA
PDCD4	PDCD4-R-C_GBL1115734.txt	PDCD4-R-C	Use with Caution	Rabbit	Rockland	600-401-965	Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun.	PDCD4
PDK1	PDK1-R-V_GBL1115698.txt	PDK1-R-V	Validated	Rabbit	CST	3062	Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling	PDK1
PDK1	PDK1_pS241-R-V_GBL1115699.txt	PDK1_pS241-R-V	Validated	Rabbit	CST	3061	Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling	PDK1_pS241
PEA15	PEA15-R-V_GBL1115755.txt	PEA15-R-V	Validated	Rabbit	CST	2780	Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling	PEA15
PEA15	PEA15_pS116-R-V_GBL1115756.txt	PEA15_pS116-R-V	Validated	Rabbit	Invitrogen	44-836G	Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8.	PEA15_pS116
PIK3CA	PI3K-p110-alpha-R-C_GBL1115733.txt	PI3K-p110-alpha-R-C	Use with Caution	Rabbit	CST	4255	One of the of the catalytic subunit of PI3K	PI3K-p110-alpha
PIK3R1 PIK3R2	PI3K-p85-R-V_GBL1115700.txt	PI3K-p85-R-V	Validated	Rabbit	Upstate (Millipore)	06-195	PI3K p85 regulatory subunit	PI3K-p85
PRKCA	PKC-alpha-M-V_GBL1115823.txt	PKC-alpha-M-V	Validated	Mouse	Upstate (Millipore)	05-154	PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions 	PKC-alpha
PRKCA	PKC-alpha_pS657-R-C_GBL1115701.txt	PKC-alpha_pS657-R-C	Use with Caution	Rabbit	Upstate (Millipore)	06-822	PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions 	PKC-alpha_pS657
PRKCD	PKC-delta_pS664-R-V_GBL1115750.txt	PKC-delta_pS664-R-V	Validated	Rabbit	Millipore	07-875	PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters.	PKC-delta_pS664
